12th	19525800.txt:1 
council	19525800.txt:1 
counted	19525800.txt:1 
countenance	19525800.txt:13 
countrywoman	19525800.txt:1 
course	19525800.txt:36 
courting	19525800.txt:1 
cousin	19525800.txt:70 
cousinsister	19525800.txt:1 
covered	19525800.txt:11 
cow	19525800.txt:9 
cower	19525800.txt:1 
cowries	19525800.txt:1 
cowry	19525800.txt:1 
cows	19525800.txt:3 
cowslip	19525800.txt:6 
crackbrained	19525800.txt:1 
crammed	19525800.txt:1 
crave	19525800.txt:1 
creaking	19525800.txt:1 
crease	19525800.txt:1 
credible	19525800.txt:1 
credited	19525800.txt:1 
cried	19525800.txt:76 
cries	19525800.txt:2 
crimsoned	19525800.txt:1 
croaked	19525800.txt:1 
cross	19525800.txt:9 
crossexamination	19525800.txt:1 
crowded	19525800.txt:2 
crowned	19525800.txt:1 
cruel	19525800.txt:17 
crueltie	19525800.txt:1 
crumbled	19525800.txt:1 
crumbs	19525800.txt:1 
cry	19525800.txt:16 
crying	19525800.txt:7 
cunning	19525800.txt:1 
curates	19525800.txt:1 
curiosities	19525800.txt:1 
curiosity	19525800.txt:11 
curve	19525800.txt:1 
custody	19525800.txt:1 
custom	19525800.txt:5 
cutlasses	19525800.txt:1 
cutlet	19525800.txt:1 
cypresses	19525800.txt:1 
damage	19525800.txt:2 
danced	19525800.txt:8 
dancing	19525800.txt:10 
dank	19525800.txt:1 
darke	19525800.txt:12 
darning	19525800.txt:1 
dashed	19525800.txt:5 
dashing	19525800.txt:1 
date	19525800.txt:1 
daughterinlaw	19525800.txt:1 
daughtersthe	19525800.txt:1 
dawned	19525800.txt:2 
dawning	19525800.txt:2 
daylight	19525800.txt:5 
daysmajor	19525800.txt:1 
dazzlingly	19525800.txt:1 
deadly	19525800.txt:4 
deanery	19525800.txt:3 
dearest	19525800.txt:11 
debs	19525800.txt:1 
decent	19525800.txt:2 
decline	19525800.txt:1 
declining	19525800.txt:1 
deemed	19525800.txt:1 
deep	19525800.txt:15 
defacing	19525800.txt:1 
defects	19525800.txt:2 
defence	19525800.txt:7 
deference	19525800.txt:2 
deficient	19525800.txt:1 
defined	19525800.txt:1 
defy	19525800.txt:1 
delays	19525800.txt:1 
delicate	19525800.txt:7 
demand	19525800.txt:7 
demure	19525800.txt:2 
denied	19525800.txt:5 
dependants	19525800.txt:2 
dependent	19525800.txt:1 
depends	19525800.txt:1 
deposited	19525800.txt:1 
depute	19525800.txt:1 
derived	19525800.txt:1 
description	19525800.txt:3 
desert	19525800.txt:1 
desirable	19525800.txt:1 
despair	19525800.txt:5 
despond	19525800.txt:1 
destroyed	19525800.txt:2 
devices	19525800.txt:3 
devils	19525800.txt:1 
devote	19525800.txt:1 
devotion	19525800.txt:1 
dictation	19525800.txt:1 
difficulty	19525800.txt:11 
diffidence	19525800.txt:1 
digging	19525800.txt:1 
dignities	19525800.txt:1 
dilapidated	19525800.txt:1 
diligent	19525800.txt:1 
dim	19525800.txt:4 
diminish	19525800.txt:2 
dingy	19525800.txt:1 
disappointed	19525800.txt:7 
disappointment	19525800.txt:6 
disaster	19525800.txt:1 
discipline	19525800.txt:1 
disclaimers	19525800.txt:1 
disclosure	19525800.txt:1 
discourse	19525800.txt:1 
discover	19525800.txt:3 
discovering	19525800.txt:2 
discreetly	19525800.txt:1 
discretely	19525800.txt:1 
discussed	19525800.txt:3 
disgusted	19525800.txt:3 
disloyalty	19525800.txt:1 
dismals	19525800.txt:2 
dismay	19525800.txt:6 
dismayed	19525800.txt:3 
dismiss	19525800.txt:3 
disposal	19525800.txt:3 
dispose	19525800.txt:2 
disregarded	19525800.txt:2 
dissimilar	19525800.txt:1 
distance	19525800.txt:12 
distant	19525800.txt:4 
distillationdl	19525800.txt:1 
distinguished	19525800.txt:2 
distraction	19525800.txt:3 
distrust	19525800.txt:2 
disuniting	19525800.txt:1 
ditch	19525800.txt:1 
divided	19525800.txt:6 
dog	19525800.txt:9 
dogs	19525800.txt:2 
doing	19525800.txt:14 
donned	19525800.txt:1 
dorsetshire	19525800.txt:2 
doublevoiced	19525800.txt:1 
doubtful	19525800.txt:3 
doubts	19525800.txt:5 
dover	19525800.txt:2 
downstairs	19525800.txt:1 
doze	19525800.txt:1 
dozen	19525800.txt:5 
dr	19525800.txt:32 
drag	19525800.txt:2 
dramas	19525800.txt:1 
dreamt	19525800.txt:3 
dreamy	19525800.txt:3 
dreariness	19525800.txt:3 
dreary	19525800.txt:1 
drew	19525800.txt:14 
drolly	19525800.txt:1 
drooped	19525800.txt:1 
dropping	19525800.txt:3 
drove	19525800.txt:7 
drug	19525800.txt:1 
dryly	19525800.txt:2 
duality	19525800.txt:1 
duckworths	19525800.txt:2 
dumb	19525800.txt:1 
dusk	19525800.txt:1 
dusty	19525800.txt:6 
duty	19525800.txt:17 
dwelt	19525800.txt:1 
dying	19525800.txt:2 
eagerness	19525800.txt:3 
earnest	19525800.txt:6 
ease	19525800.txt:7 
easily	19525800.txt:10 
east	19525800.txt:1 
eastern	19525800.txt:2 
easy	19525800.txt:11 
eat	19525800.txt:8 
eating	19525800.txt:1 
eccentric	19525800.txt:1 
ecstasy	19525800.txt:4 
ecstatic	19525800.txt:3 
eight	19525800.txt:5 
eke	19525800.txt:1 
elder	19525800.txt:7 
eldersisterly	19525800.txt:1 
elevation	19525800.txt:2 
elicited	19525800.txt:1 
elucidations	19525800.txt:1 
eluded	19525800.txt:1 
emboldened	19525800.txt:2 
embroider	19525800.txt:1 
employ	19525800.txt:1 
employment	19525800.txt:3 
empress	19525800.txt:1 
empty	19525800.txt:13 
enchanting	19525800.txt:1 
encircled	19525800.txt:1 
endearments	19525800.txt:2 
endowed	19525800.txt:1 
enemies	19525800.txt:4 
enhance	19525800.txt:3 
enigmatical	19525800.txt:1 
enjoy	19525800.txt:6 
enlivened	19525800.txt:1 
enmity	19525800.txt:2 
enormous	19525800.txt:3 
entail	19525800.txt:1 
entailed	19525800.txt:2 
entertaining	19525800.txt:2 
entertainment	19525800.txt:5 
enthralled	19525800.txt:1 
enthusiasm	19525800.txt:2 
enthusiastic	19525800.txt:1 
entire	19525800.txt:6 
entrance	19525800.txt:8 
entrapped	19525800.txt:1 
epistles	19525800.txt:1 
epitaph	19525800.txt:1 
equipped	19525800.txt:1 
error	19525800.txt:2 
escutcheon	19525800.txt:1 
esq	19525800.txt:2 
essay	19525800.txt:2 
essence	19525800.txt:1 
esteemed	19525800.txt:3 
estimable	19525800.txt:2 
eternal	19525800.txt:1 
eternity	19525800.txt:1 
etui	19525800.txt:1 
euripides	19525800.txt:1 
ever	19525800.txt:86 
exacerbate	19525800.txt:1 
exactly	19525800.txt:6 
examination	19525800.txt:1 
exchange	19525800.txt:4 
excite	19525800.txt:3 
excited	19525800.txt:4 
exclusion	19525800.txt:1 
excusing	19525800.txt:1 
exemplify	19525800.txt:1 
expansion	19525800.txt:1 
expected	19525800.txt:20 
expedient	19525800.txt:7 
expended	19525800.txt:1 
expenses	19525800.txt:1 
experimented	19525800.txt:1 
explained	19525800.txt:7 
explanations	19525800.txt:2 
expletives	19525800.txt:1 
explorations	19525800.txt:1 
explore	19525800.txt:3 
expressed	19525800.txt:1 
expulsion	19525800.txt:1 
exquisitely	19525800.txt:7 
extemporary	19525800.txt:1 
externals	19525800.txt:1 
extreme	19525800.txt:2 
eyelashes	19525800.txt:1 
fabrication	19525800.txt:1 
face	19525800.txt:83 
faced	19525800.txt:2 
faces	19525800.txt:5 
fact	19525800.txt:16 
facts	19525800.txt:1 
faculties	19525800.txt:2 
fading	19525800.txt:1 
faggot	19525800.txt:1 
fain	19525800.txt:1 
faire	19525800.txt:2 
fairly	19525800.txt:5 
fairy	19525800.txt:2 
faith	19525800.txt:18 
faithfully	19525800.txt:1 
falsely	19525800.txt:1 
faltered	19525800.txt:6 
fame	19525800.txt:1 
familiarly	19525800.txt:1 
family	19525800.txt:54 
fan	19525800.txt:12 
fancy	19525800.txt:10 
fans	19525800.txt:1 
fantastic	19525800.txt:4 
fare	19525800.txt:2 
farmer	19525800.txt:7 
farmers	19525800.txt:4 
farmyard	19525800.txt:1 
fascinating	19525800.txt:1 
fashions	19525800.txt:1 
fatherand	19525800.txt:1 
fear	19525800.txt:30 
fearfully	19525800.txt:2 
fearing	19525800.txt:2 
fears	19525800.txt:6 
feathers	19525800.txt:7 
fee	19525800.txt:3 
feeding	19525800.txt:3 
feelings	19525800.txt:6 
feigned	19525800.txt:2 
fell	19525800.txt:23 
fervent	19525800.txt:4 
fervently	19525800.txt:2 
fervour	19525800.txt:5 
festivities	19525800.txt:2 
fetching	19525800.txt:1 
feverish	19525800.txt:1 
fickle	19525800.txt:2 
fiddlefaddle	19525800.txt:1 
fidelias	19525800.txt:1 
fierce	19525800.txt:1 
fifteen	19525800.txt:1 
fighting	19525800.txt:2 
figure	19525800.txt:15 
figured	19525800.txt:1 
figures	19525800.txt:2 
fingera	19525800.txt:1 
fingertips	19525800.txt:2 
fireplace	19525800.txt:2 
fitting	19525800.txt:3 
flamed	19525800.txt:2 
flames	19525800.txt:1 
flashed	19525800.txt:1 
flashes	19525800.txt:1 
flattered	19525800.txt:1 
flightiness	19525800.txt:1 
float	19525800.txt:1 
floods	19525800.txt:1 
flout	19525800.txt:2 
flushed	19525800.txt:1 
foes	19525800.txt:1 
folded	19525800.txt:1 
foliage	19525800.txt:1 
fondle	19525800.txt:1 
food	19525800.txt:7 
forbearance	19525800.txt:1 
forced	19525800.txt:15 
forego	19525800.txt:1 
forget	19525800.txt:9 
forgot	19525800.txt:5 
fork	19525800.txt:2 
formed	19525800.txt:2 
forsaken	19525800.txt:2 
forty	19525800.txt:2 
forward	19525800.txt:20 
four	19525800.txt:18 
fourteen	19525800.txt:2 
fowlingpiece	19525800.txt:1 
frankness	19525800.txt:1 
freely	19525800.txt:3 
fretfully	19525800.txt:1 
fretfulness	19525800.txt:1 
friars	19525800.txt:1 
friend	19525800.txt:40 
friends	19525800.txt:18 
frighted	19525800.txt:3 
frighten	19525800.txt:2 
frightened	19525800.txt:14 
frothing	19525800.txt:1 
frowsed	19525800.txt:1 
fruit	19525800.txt:2 
fu	19525800.txt:1 
fulfil	19525800.txt:2 
fulfilling	19525800.txt:1 
fulfilment	19525800.txt:1 
fullest	19525800.txt:1 
fumes	19525800.txt:1 
fun	19525800.txt:2 
functions	19525800.txt:1 
furnish	19525800.txt:1 
furniture	19525800.txt:5 
future	19525800.txt:2 
gables	19525800.txt:3 
gagleth	19525800.txt:1 
gaily	19525800.txt:3 
galled	19525800.txt:1 
gallery	19525800.txt:2 
gaming	19525800.txt:1 
gaol	19525800.txt:2 
gave	19525800.txt:41 
genoese	19525800.txt:1 
gentlemanly	19525800.txt:3 
gentlemans	19525800.txt:2 
gentlemen	19525800.txt:10 
gentleness	19525800.txt:1 
gentlewomen	19525800.txt:3 
genuine	19525800.txt:2 
gesture	19525800.txt:8 
ghost	19525800.txt:2 
gibbering	19525800.txt:1 
gibraltar	19525800.txt:4 
giddy	19525800.txt:1 
gilded	19525800.txt:1 
glade	19525800.txt:1 
gladly	19525800.txt:6 
glancing	19525800.txt:4 
glories	19525800.txt:1 
glued	19525800.txt:1 
go	19525800.txt:104 
god	19525800.txt:21 
goddesse	19525800.txt:1 
goddesses	19525800.txt:1 
godfrey	19525800.txt:27 
gods	19525800.txt:5 
goodnatured	19525800.txt:1 
goodness	19525800.txt:7 
goodnight	19525800.txt:2 
governors	19525800.txt:1 
grace	19525800.txt:7 
grain	19525800.txt:1 
grand	19525800.txt:13 
grasped	19525800.txt:2 
grasping	19525800.txt:2 
grass	19525800.txt:5 
gravely	19525800.txt:7 
grazed	19525800.txt:1 
green	19525800.txt:29 
grenadier	19525800.txt:1 
grey	19525800.txt:16 
grieve	19525800.txt:4 
grieved	19525800.txt:3 
grievous	19525800.txt:3 
grimed	19525800.txt:1 
gripped	19525800.txt:1 
grossly	19525800.txt:2 
groups	19525800.txt:1 
grovelling	19525800.txt:1 
growth	19525800.txt:1 
gruffly	19525800.txt:1 
gryslie	19525800.txt:1 
guarded	19525800.txt:4 
guessed	19525800.txt:9 
guests	19525800.txt:6 
guidance	19525800.txt:1 
guiltless	19525800.txt:2 
guttering	19525800.txt:1 
h	19525800.txt:1 
hag	19525800.txt:1 
hairdresser	19525800.txt:3 
halfaloud	19525800.txt:1 
halffrantic	19525800.txt:1 
halfopened	19525800.txt:1 
handed	19525800.txt:10 
handsome	19525800.txt:11 
handsomely	19525800.txt:1 
hang	19525800.txt:3 
hanover	19525800.txt:9 
happened	19525800.txt:1 
happier	19525800.txt:4 
happiest	19525800.txt:1 
harassing	19525800.txt:1 
harbour	19525800.txt:1 
harm	19525800.txt:12 
harsh	19525800.txt:2 
harvest	19525800.txt:5 
harvesters	19525800.txt:1 
hateful	19525800.txt:1 
hatty	19525800.txt:1 
haunting	19525800.txt:2 
having	19525800.txt:64 
havoc	19525800.txt:2 
heap	19525800.txt:5 
heartbroken	19525800.txt:1 
hearthunger	19525800.txt:1 
hearts	19525800.txt:5 
heartshaped	19525800.txt:1 
heaths	19525800.txt:1 
heavenly	19525800.txt:6 
hebrew	19525800.txt:1 
hedge	19525800.txt:3 
heeded	19525800.txt:2 
heedless	19525800.txt:2 
heels	19525800.txt:4 
heir	19525800.txt:3 
heiress	19525800.txt:2 
heirs	19525800.txt:4 
her	19525800.txt:2055 
heralded	19525800.txt:2 
heretic	19525800.txt:1 
hern	19525800.txt:1 
hers	19525800.txt:11 
herself	19525800.txt:130 
hid	19525800.txt:2 
hiding	19525800.txt:3 
hidingplace	19525800.txt:1 
highbacked	19525800.txt:2 
highlyesteemed	19525800.txt:1 
highwaymen	19525800.txt:5 
hire	19525800.txt:1 
hired	19525800.txt:3 
his	19525800.txt:845 
hitherto	19525800.txt:4 
hoarse	19525800.txt:2 
hobbled	19525800.txt:4 
hobnailed	19525800.txt:1 
hole	19525800.txt:3 
holes	19525800.txt:3 
holy	19525800.txt:1 
homemade	19525800.txt:2 
homer	19525800.txt:3 
honest	19525800.txt:10 
honour	19525800.txt:54 
honourid	19525800.txt:1 
hoodwink	19525800.txt:1 
hopeful	19525800.txt:1 
hopeless	19525800.txt:2 
hopelessness	19525800.txt:1 
horn	19525800.txt:2 
horndl	19525800.txt:1 
horns	19525800.txt:1 
horrible	19525800.txt:1 
horrorstricken	19525800.txt:1 
horsewhip	19525800.txt:1 
hounslow	19525800.txt:2 
housekeeping	19525800.txt:1 
how	19525800.txt:161 
hoyden	19525800.txt:1 
hoydenish	19525800.txt:1 
hug	19525800.txt:1 
humour	19525800.txt:1 
humphreys	19525800.txt:1 
hundreds	19525800.txt:1 
hung	19525800.txt:13 
hunter	19525800.txt:28 
hunting	19525800.txt:2 
hurried	19525800.txt:16 
husbands	19525800.txt:5 
hymn	19525800.txt:3 
hypochondriacism	19525800.txt:1 
identity	19525800.txt:1 
idle	19525800.txt:1 
idol	19525800.txt:1 
illhumour	19525800.txt:1 
im	19525800.txt:11 
imagination	19525800.txt:6 
imagine	19525800.txt:7 
immediately	19525800.txt:12 
immense	19525800.txt:3 
immured	19525800.txt:2 
impaired	19525800.txt:3 
imperiously	19525800.txt:1 
implied	19525800.txt:3 
implore	19525800.txt:4 
import	19525800.txt:1 
important	19525800.txt:1 
imported	19525800.txt:1 
improbable	19525800.txt:2 
improper	19525800.txt:2 
improve	19525800.txt:1 
inarticulate	19525800.txt:1 
incensed	19525800.txt:1 
inclinations	19525800.txt:3 
inconsistently	19525800.txt:1 
indebted	19525800.txt:1 
indeed	19525800.txt:96 
indefinitely	19525800.txt:1 
indian	19525800.txt:2 
indifference	19525800.txt:1 
indignation	19525800.txt:3 
induce	19525800.txt:2 
ineffable	19525800.txt:2 
inexperience	19525800.txt:1 
infants	19525800.txt:1 
infinitely	19525800.txt:2 
infirmity	19525800.txt:2 
inflict	19525800.txt:1 
informal	19525800.txt:1 
ingenious	19525800.txt:2 
ingredients	19525800.txt:1 
injunctions	19525800.txt:1 
innocence	19525800.txt:8 
innovation	19525800.txt:2 
inquire	19525800.txt:11 
inquiring	19525800.txt:2 
inquiry	19525800.txt:12 
inroad	19525800.txt:1 
inscription	19525800.txt:2 
insecurity	19525800.txt:3 
insensible	19525800.txt:2 
insolent	19525800.txt:3 
instinct	19525800.txt:2 
intend	19525800.txt:4 
intending	19525800.txt:2 
intercourse	19525800.txt:2 
interrogated	19525800.txt:3 
interrogation	19525800.txt:1 
interrupt	19525800.txt:2 
interrupted	19525800.txt:8 
intreated	19525800.txt:1 
intruding	19525800.txt:1 
intuetur	19525800.txt:1 
invasion	19525800.txt:1 
invented	19525800.txt:1 
invitation	19525800.txt:8 
invited	19525800.txt:6 
involved	19525800.txt:5 
ireland	19525800.txt:2 
ironmoulded	19525800.txt:1 
irrevocable	19525800.txt:1 
islands	19525800.txt:1 
isle	19525800.txt:2 
itself	19525800.txt:12 
itthen	19525800.txt:1 
ive	19525800.txt:9 
ivory	19525800.txt:4 
ivy	19525800.txt:2 
jack	19525800.txt:2 
jackanapes	19525800.txt:1 
jarred	19525800.txt:1 
jonsons	19525800.txt:1 
journeys	19525800.txt:1 
jovian	19525800.txt:12 
joyously	19525800.txt:1 
judged	19525800.txt:1 
june	19525800.txt:1 
juniors	19525800.txt:3 
jurisdiction	19525800.txt:1 
just	19525800.txt:50 
justices	19525800.txt:1 
karen	19525800.txt:11 
keen	19525800.txt:2 
key	19525800.txt:4 
kidnapped	19525800.txt:1 
kinder	19525800.txt:1 
kinsman	19525800.txt:7 
kittensi	19525800.txt:1 
knee	19525800.txt:12 
knees	19525800.txt:5 
knock	19525800.txt:5 
knot	19525800.txt:5 
knots	19525800.txt:2 
knowsyou	19525800.txt:1 
labourer	19525800.txt:1 
lackeys	19525800.txt:3 
ladyand	19525800.txt:1 
ladyshipladyship	19525800.txt:1 
lallegro	19525800.txt:1 
